,tissue,blood
k__Viruses.f__Phycodnaviridae.g__Prasinovirus,0.00048064923047619963,0.0011189880246897466
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Sfi1unalikevirus,0.00053896420543244,0.0005336473966297805
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Simplexvirus,0.0004968839581072723,0.0001370916737865227
k__Viruses.o__Caudovirales.f__Siphoviridae.g__C2likevirus,0.0006327325857713303,0.0007745140191956277
k__Viruses.f__Poxviridae.g__Parapoxvirus,0.0005198148401136979,0.0003105812594849174
k__Viruses.f__Bicaudaviridae.g__Bicaudavirus,0.0002519717450119746,0.000577010956802127
k__Viruses.o__Picornavirales.f__Picornaviridae.g__Aquamavirus,0.0005829470290687898,0.001320726855075607
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Mardivirus,0.0005671631219032392,0.0011682715516016452
k__Viruses.f__Baculoviridae.g__Deltabaculovirus,0.0006430669831902539,0.00033228401228401253
k__Viruses.f__Papillomaviridae.g__Taupapillomavirus,0.0006812841373448799,0.00015932507624834275
k__Viruses.o__Caudovirales.f__Myoviridae.g__I3likevirus,0.00040997600119685283,7.360665227895886e-05
k__Viruses.f__Virgaviridae.g__Furovirus,0.00022941178588472975,0.00020146949625159875
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Proboscivirus,0.00022788756419848976,0.0016046177801735942
k__Viruses.o__Herpesvirales.f__Alloherpesviridae.g__Ictalurivirus,0.0001629816091871756,0.0009068475066075364
k__Viruses.f__Inoviridae.g__Inovirus,0.00031964083855970426,0.0
k__Viruses.f__Marseilleviridae.g__Marseillevirus,0.0005929514361805857,0.0
k__Viruses.o__Nidovirales.f__Coronaviridae.g__Gammacoronavirus,0.0004475926332164442,0.00010185244534144569
k__Viruses.f__Ascoviridae.g__Ascovirus,0.000580144778505228,0.0005570826736707731
k__Viruses.o__Caudovirales.f__Myoviridae.g__Spo1virus,0.0003971598814765432,0.00013647923459741813
k__Viruses.f__Circoviridae.g__Gyrovirus,0.0005169435947597154,0.0003573916322124642
k__Viruses.o__Picornavirales.f__Picornaviridae.g__Sicinivirus,0.0005168115683692544,0.0005064764560454541
k__Viruses.o__Picornavirales.f__Picornaviridae.g__Dicipivirus,0.0004928359028762495,0.00022000176188845423
k__Viruses.f__Poxviridae.g__Molluscipoxvirus,8.214529458015365e-05,0.0
k__Viruses.o__Tymovirales.f__Tymoviridae.g__Tymovirus,0.0007245012805563727,0.00047162688964380546
k__Viruses.f__Flaviviridae.g__Hepacivirus,0.0008531799155751778,0.00022424470572476814
k__Viruses.f__Poxviridae.g__Alphaentomopoxvirus,0.000955412154247608,0.0005125932156209483
k__Viruses.f__Anelloviridae.g__Gammatorquevirus,0.0019351315923297635,0.001058379293292032
k__Viruses.g__Tenuivirus,0.0019031254592911187,0.0006407080752794745
k__Viruses.f__Hepeviridae.g__Piscihepevirus,0.0007920814657484947,0.0007660230840372753
k__Viruses.f__Virgaviridae.g__Pomovirus,0.0010264602651409173,0.0006285964109268468
k__Viruses.f__Caulimoviridae.g__Badnavirus,0.00020300396309853847,0.00041005129973995083
k__Viruses.f__Polydnaviridae.g__Ichnovirus,0.00038391315403596383,0.00010394170331746845
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Percavirus,0.0006363561109602786,0.0005767124899785499
k__Viruses.f__Papillomaviridae.g__Betapapillomavirus,0.0003981284851351046,9.751585623678646e-05
k__Viruses.f__Togaviridae.g__Alphavirus,0.001004302531872748,0.00017883539676804538
k__Viruses.o__Tymovirales.f__Betaflexiviridae.g__Trichovirus,0.0017713620113712922,0.00041999121832314015
k__Viruses.o__Caudovirales.f__Podoviridae.g__Bcep22likevirus,0.0003933364352724263,0.00015123507870540948
k__Viruses.o__Tymovirales.f__Alphaflexiviridae.g__Sclerodarnavirus,0.00043106233144353604,0.0005053102192028382
k__Viruses.f__Phycodnaviridae.g__Coccolithovirus,0.0006099064396214087,0.000131470393143939
k__Viruses.o__Ligamenvirales.f__Lipothrixviridae.g__Deltalipothrixvirus,0.00015743161700395154,0.0
k__Viruses.f__Retroviridae.g__Alpharetrovirus,0.00034018089881674205,0.0015150150673228313
k__Viruses.f__Poxviridae.g__Capripoxvirus,0.0011861130479712688,0.00012971125219910377
k__Viruses.f__Poxviridae.g__Cervidpoxvirus,0.003223049703443553,0.0002348335556709618
k__Viruses.g__Higrevirus,0.0001365245680916018,0.001119806734985717
k__Viruses.o__Caudovirales.f__Podoviridae.g__Phikmvlikevirus,0.00030383014043962477,0.0004471690786781068
k__Viruses.o__Caudovirales.f__Siphoviridae.g__T5likevirus,0.00048132218606166023,0.0001622726972888586
k__Viruses.o__Nidovirales.f__Coronaviridae.g__Bafinivirus,0.0008792603442569031,0.0008395671732409697
k__Viruses.f__Baculoviridae.g__Alphabaculovirus,0.0004671812182029378,0.0
k__Viruses.f__Papillomaviridae.g__Mupapillomavirus,0.0007039520130266198,0.0
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Lambdalikevirus,0.0010936573223890992,0.0002624597913940286
k__Viruses.f__Papillomaviridae.g__Phipapillomavirus,0.0006135406782428911,0.0004852531646653252
k__Viruses.f__Papillomaviridae.g__Omegapapillomavirus,0.0003613968526494518,0.001441684938477859
k__Viruses.o__Nidovirales.f__Coronaviridae.g__Betacoronavirus,0.0013371834035694494,0.0029143934189230663
k__Viruses.f__Phycodnaviridae.g__Chlorovirus,0.0008107426529547317,0.0011194793641138498
k__Viruses.f__Hypoviridae.g__Hypovirus,0.0007841635791880412,0.0009809880214766593
k__Viruses.f__Anelloviridae.g__Alphatorquevirus,0.0006139865788853449,0.0036290598057084917
k__Viruses.o__Picornavirales.f__Dicistroviridae.g__Aparavirus,0.004758179426399648,0.0004718088796491206
k__Viruses.g__Pithovirus,0.00023638642049521026,0.00020058531428612258
k__Viruses.f__Phycodnaviridae.g__Phaeovirus,0.00030560643472963807,0.0004493931244264905
k__Viruses.o__Picornavirales.f__Picornaviridae.g__Hepatovirus,0.00046408053599858077,0.0001006431748411256
k__Viruses.f__Virgaviridae.g__Tobamovirus,0.0008812254051572092,0.00022568727985294068
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Barnyardlikevirus,8.35779045180714e-05,0.0004607323105834706
k__Viruses.f__Baculoviridae.g__Betabaculovirus,0.00017155488943469964,0.002495381644303831
k__Viruses.f__Arenaviridae.g__Arenavirus,0.00026547465737998766,0.0003797474557720895
k__Viruses.o__Caudovirales.f__Myoviridae.g__P100virus,0.00010585481522124589,0.000570312446860695
k__Viruses.o__Caudovirales.f__Myoviridae.g__Spounalikevirus,0.0005140419812838642,0.0014546424761006868
k__Viruses.f__Partitiviridae.g__Betapartitivirus,0.00037851358531032866,0.0005418247735754602
k__Viruses.f__Reoviridae.g__Cypovirus,0.0006221521837059675,6.170499397040803e-05
k__Viruses.o__Tymovirales.f__Betaflexiviridae.g__Carlavirus,0.0012712423376982879,0.001218117480759871
k__Viruses.o__Nidovirales.f__Coronaviridae.g__Alphacoronavirus,0.000844627040708169,0.0004067460317460319
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Iltovirus,0.0002676323709419588,0.001078983664604231
k__Viruses.f__Bromoviridae.g__Bromovirus,0.0004645617508022993,0.0015847059362140428
k__Viruses.f__Closteroviridae.g__Closterovirus,0.001648103640226562,0.0014798193223145403
k__Viruses.o__Caudovirales.f__Myoviridae.g__Viunalikevirus,0.0005540966572070401,0.0005350430556199341
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Phicbklikevirus,0.00051790276498477,0.0
k__Viruses.f__Fuselloviridae.g__Alphafusellovirus,0.0002533935826129376,0.0
k__Viruses.f__Bunyaviridae.g__Orthobunyavirus,0.0011149641112238263,0.0009062517900399518
k__Viruses.o__Picornavirales.f__Picornaviridae.g__Sapelovirus,0.0015644009717944915,0.0009251237554395765
k__Viruses.f__Bunyaviridae.g__Tospovirus,0.00024841603349712527,0.0011028853441989671
k__Viruses.f__Mimiviridae.g__Cafeteriavirus,0.00023033650132183207,0.0011437046777308247
k__Viruses.f__Potyviridae.g__Potyvirus,0.0002634263519411123,0.0008879560872137273
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Muromegalovirus,0.00033021849848453443,0.0008519108460947395
k__Viruses.o__Picornavirales.f__Picornaviridae.g__Salivirus,0.0005624346329459558,0.00031297010266876653
k__Viruses.o__Caudovirales.f__Podoviridae.g__N4likevirus,0.00010832037809069259,0.0
k__Viruses.f__Retroviridae.g__Lentivirus,9.895189561205646e-05,0.00017588232774221808
k__Viruses.o__Picornavirales.f__Secoviridae.g__Fabavirus,0.0005085171932920611,0.0005215923492196595
k__Viruses.f__Polydnaviridae.g__Bracovirus,0.00033192839528993067,5.2658618032365786e-05
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Rhadinovirus,0.0002367094344139804,0.0018065721339946225
k__Viruses.f__Luteoviridae.g__Polerovirus,0.0003181747362187638,0.00010573585276395071
k__Viruses.f__Flaviviridae.g__Pestivirus,0.00023217939710778326,0.0
k__Viruses.f__Poxviridae.g__Betaentomopoxvirus,0.001162270737785083,0.00011653329835148
k__Viruses.o__Herpesvirales.f__Alloherpesviridae.g__Cyprinivirus,0.001045029811371596,0.0004958124259514196
k__Viruses.o__Mononegavirales.f__Nyamiviridae.g__Nyavirus,0.0016578908479785673,0.002011319030628851
k__Viruses.f__Retroviridae.g__Betaretrovirus,0.0005374287630420349,9.06862912419872e-05
k__Viruses.f__Microviridae.g__Microvirus,0.0006616070465997133,0.0008075087212471711
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Andromedalikevirus,5.9890904303212964e-05,0.0006452722496750337
k__Viruses.f__Iridoviridae.g__Lymphocystivirus,0.0004715361965379308,0.0004029230197331569
k__Viruses.f__Caliciviridae.g__Vesivirus,0.0008964444029577156,0.0003787468788552592
k__Viruses.f__Poxviridae.g__Avipoxvirus,0.000944274767656662,0.0014432892324959385
k__Viruses.o__Mononegavirales.f__Paramyxoviridae.g__Rubulavirus,0.0003031880747247661,0.0003086435992382204
k__Viruses.f__Chrysoviridae.g__Chrysovirus,0.0007125541123251305,0.0009731993804643863
k__Viruses.g__Emaravirus,0.0005810071438594168,0.0003974798474392298
k__Viruses.f__Astroviridae.g__Avastrovirus,0.0008552861940372197,0.0
k__Viruses.o__Picornavirales.f__Secoviridae.g__Cheravirus,0.0004773256589096274,0.0006404425669501961
k__Viruses.o__Ligamenvirales.f__Rudiviridae.g__Rudivirus,0.00014930633350084932,0.00024004520624429498
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Varicellovirus,0.00037948515943128153,0.0013366964015479423
k__Viruses.f__Polyomaviridae.g__Polyomavirus,9.927909737070789e-05,0.0
k__Viruses.o__Herpesvirales.f__Alloherpesviridae.g__Batrachovirus,0.0005867279254028734,0.0016623283976960905
k__Viruses.o__Picornavirales.f__Picornaviridae.g__Enterovirus,0.0015543954524948602,0.0008935909112161614
k__Viruses.o__Picornavirales.f__Secoviridae.g__Waikavirus,0.0008976715519683348,0.00246524531114007
k__Viruses.o__Caudovirales.f__Myoviridae.g__T4likevirus,0.00997077115138158,0.006640778158695579
k__Viruses.f__Poxviridae.g__Yatapoxvirus,0.0006239584449271051,0.0003046297349247696
k__Viruses.f__Adenoviridae.g__Mastadenovirus,0.0006201944976447869,0.000196302138772115
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Cytomegalovirus,0.0019514108041073282,0.0007606718751834733
k__Viruses.o__Picornavirales.f__Picornaviridae.g__Kobuvirus,0.0005098573529784809,0.0001716279069767441
k__Viruses.o__Caudovirales.f__Podoviridae.g__T7likevirus,0.0002033417811635774,0.0007601734127723007
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Roseolovirus,0.00020134905258960848,0.0005109307277837711
k__Viruses.f__Adenoviridae.g__Aviadenovirus,0.0004542364913741338,0.0010426111924079003
k__Viruses.f__Iridoviridae.g__Ranavirus,0.0008990863575689108,0.0009194569281756838
k__Viruses.f__Closteroviridae.g__Ampelovirus,0.0005379049882804608,0.0008056603845868898
k__Viruses.f__Orthomyxoviridae.g__Isavirus,0.0008810541493371453,0.0023436641587326968
k__Viruses.f__Poxviridae.g__Orthopoxvirus,0.0005669384457745563,0.0014351397139154038
k__Viruses.f__Papillomaviridae.g__Gammapapillomavirus,0.00018497176443221087,0.00019796133165975792
k__Viruses.f__Phycodnaviridae.g__Prymnesiovirus,0.00018957525335416492,0.0004558510918139176
k__Viruses.f__Bunyaviridae.g__Hantavirus,0.00021691562494854794,0.00026816860465116274
k__Viruses.o__Picornavirales.f__Picornaviridae.g__Senecavirus,0.00047358693715900845,0.001452522246172577
k__Viruses.o__Caudovirales.f__Siphoviridae.g__L5likevirus,0.0024027582587241776,0.0
k__Viruses.o__Picornavirales.f__Dicistroviridae.g__Cripavirus,0.0011429358673901368,0.00021223023964901503
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Tunalikevirus,0.0002573276918189894,0.0019381125843311998
k__Viruses.f__Hytrosaviridae.g__Muscavirus,0.0009235962427877374,0.0006043118498722656
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Macavirus,0.00024194978560453624,0.0016046096659399006
k__Viruses.f__Closteroviridae.g__Crinivirus,0.00034730933508831654,0.0004566059372243436
k__Viruses.f__Papillomaviridae.g__Lambdapapillomavirus,0.0008791513026905673,0.0007132108196888965
k__Viruses.f__Papillomaviridae.g__Alphapapillomavirus,0.00018614208331515293,0.0005905831462580183
k__Viruses.f__Partitiviridae.g__Alphapartitivirus,0.001190654788946991,0.00010178496065142379
k__Viruses.f__Mimiviridae.g__Mimivirus,0.002787117198867957,0.0007186368796968326
k__Viruses.o__Herpesvirales.f__Malacoherpesviridae.g__Ostreavirus,0.000687821896255911,0.0001281357520584108
k__Viruses.o__Tymovirales.f__Alphaflexiviridae.g__Potexvirus,0.0005038057269147434,0.0004904940957059471
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Sfi21dtunalikevirus,0.0007739357309565084,0.0029805424577857204
k__Viruses.f__Retroviridae.g__Gammaretrovirus,0.0002877631002431322,0.00048040583456508934
k__Viruses.f__Circoviridae.g__Circovirus,0.00038070113653615234,0.0012593077682300682
k__Viruses.o__Tymovirales.f__Betaflexiviridae.g__Foveavirus,9.315619261351027e-05,0.0
k__Viruses.o__Picornavirales.f__Secoviridae.g__Nepovirus,0.0009978114444090492,0.0004448417351636244
k__Viruses.o__Picornavirales.f__Iflaviridae.g__Iflavirus,0.0003254154080075775,0.00017566548974491217
k__Viruses.f__Iridoviridae.g__Iridovirus,0.0005666858644621379,0.0018064806463058945
k__Viruses.f__Flaviviridae.g__Flavivirus,0.0002253255757644553,0.00046163179465927664
k__Viruses.f__Astroviridae.g__Mamastrovirus,0.00023365250808265819,0.0025589441639182328
k__Viruses.f__Virgaviridae.g__Pecluvirus,0.0005997235089527835,0.0006059196868141667
k__Viruses.g__Bacilladnavirus,0.0012600694793267974,0.0
k__Viruses.f__Bromoviridae.g__Cucumovirus,0.0009607659279851763,0.00027264743745219106
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Lymphocryptovirus,0.017481143365982464,0.0018940033076698438
k__Viruses.f__Nimaviridae.g__Whispovirus,0.0008344300635652253,0.0008939454803772656
k__Viruses.f__Hytrosaviridae.g__Glossinavirus,0.0007865208353416294,0.0010551727191442661
k__Viruses.f__Virgaviridae.g__Hordeivirus,0.0002694937581177012,0.0009567975443324448
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Skunalikevirus,0.0004013907358286023,0.0004824051137564287
k__Viruses.o__Caudovirales.f__Myoviridae.g__Cp220likevirus,0.0004758646458385694,0.0003000809700279137
k__Viruses.o__Caudovirales.f__Myoviridae.g__Phikzlikevirus,0.0005218291772304502,0.0
k__Viruses.f__Endornaviridae.g__Endornavirus,9.445754904028087e-05,0.00010968839561299538
k__Viruses.f__Orthomyxoviridae.g__Influenzavirus_C,0.0007511059326222354,0.0001789211997175567
k__Viruses.f__Poxviridae.g__Leporipoxvirus,0.00031148973336660336,0.00012242693035165845
k__Viruses.o__Caudovirales.f__Podoviridae.g__Phi29likevirus,0.0003428153634397426,5.2658618032365786e-05
k__Viruses.f__Caulimoviridae.g__Cavemovirus,0.0002852087022406126,9.180603176824573e-05
k__Viruses.f__Anelloviridae.g__Betatorquevirus,0.0005458887691294841,0.00047724331925586423
k__Viruses.f__Caulimoviridae.g__Caulimovirus,0.0008837675610018136,0.00010827226513501024
k__Viruses.o__Caudovirales.f__Myoviridae.g__Pbunalikevirus,0.00010827191763995527,0.001010618728588326
k__Viruses.f__Reoviridae.g__Phytoreovirus,0.00048285470314374056,0.00010443786955090385
k__Viruses.f__Bromoviridae.g__Alfamovirus,0.00015911947870138378,0.0
k__Viruses.o__Caudovirales.f__Podoviridae.g__Sp6likevirus,0.00017137675910691396,0.0012093644882269646
k__Viruses.f__Sphaerolipoviridae.g__Gammasphaerolipovirus,0.0011213435089953666,0.0007715754691113116
k__Viruses.f__Flaviviridae.g__Pegivirus,0.0001418979674278177,6.717503054962013e-05
k__Viruses.o__Mononegavirales.f__Rhabdoviridae.g__Vesiculovirus,0.00014040070730421414,9.248120300751878e-05
k__Viruses.o__Mononegavirales.f__Rhabdoviridae.g__Lyssavirus,0.00024437814872736735,0.0
k__Viruses.f__Hepadnaviridae.g__Orthohepadnavirus,0.00036376064948751854,7.439485428934881e-05
k__Viruses.o__Tymovirales.f__Alphaflexiviridae.g__Allexivirus,0.00014044729218712818,0.0
k__Viruses.f__Parvoviridae.g__Ambidensovirus,0.0004993742592553564,3.6161368406090127e-06
k__Viruses.o__Picornavirales.f__Secoviridae.g__Comovirus,0.0009486123490108841,0.00024259862141330158
k__Viruses.g__Polemovirus,0.0006391589565650273,0.0
k__Viruses.f__Leviviridae.g__Levivirus,0.0008978561279335302,0.0006930118546629396
k__Viruses.o__Caudovirales.f__Podoviridae.g__Phieco32likevirus,0.0006636865734500109,0.0026989582643835923
k__Viruses.f__Reoviridae.g__Aquareovirus,0.0008702432961706307,8.874458874458878e-05
k__Viruses.f__Bromoviridae.g__Ilarvirus,0.0009979118005473747,0.00010507831039392501
k__Viruses.f__Narnaviridae.g__Narnavirus,0.00038322108065214007,0.0
k__Viruses.f__Totiviridae.g__Totivirus,0.0006278363393230231,0.00024046696953898872
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Chilikevirus,0.0009448587495470441,0.0
k__Viruses.f__Potyviridae.g__Tritimovirus,0.0009458409716078017,0.0
k__Viroids.f__Pospiviroidae.g__Coleviroid,0.00025670118142482164,0.0
k__Viruses.f__Papillomaviridae.g__Dyopipapillomavirus,0.00024610607625234396,0.0
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Oceanospirillales.f__Halomonadaceae.g__Cobetia,0.00016535678824583478,0.0002512439319664852
k__Bacteria.p__Firmicutes.c__Clostridia.o__Thermoanaerobacterales.f__Thermoanaerobacteraceae.g__Ammonifex,0.0007414635443223706,0.0006608295287978936
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Tsukamurellaceae.g__Tsukamurella,0.00025004980367403126,0.0005522372248464178
k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Cryomorphaceae.g__Owenweeksia,0.00021993538435199252,0.0
k__Bacteria.o__Haloplasmatales.f__Haloplasmataceae.g__Haloplasma,0.00048419568162798255,0.0
k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfobacterales.f__Desulfobacteraceae.g__Desulfosarcina,0.0004097679047570517,0.00011269154126296988
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Siccibacter,0.0003126787652638801,0.0008468454321741364
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales.f__Acetobacteraceae.g__Asaia,0.0002997942540071759,0.00010519293924466345
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhodobiaceae.g__Parvibaculum,0.00019709012938428798,0.0
k__Bacteria.p__Cyanobacteria.o__Chroococcales.g__Neosynechococcus,0.0002665748284900774,0.0
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Sphingomonadales.f__Sphingomonadaceae.g__Zymomonas,7.679056136931218e-05,0.00039579467707676237
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Rhodocyclales.f__Rhodocyclaceae.g__Sulfuritalea,5.973099252044511e-05,0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Pseudonocardiales.f__Pseudonocardiaceae.g__Kutzneria,0.00013401045547909465,0.000576706497121551
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Chromatiales.f__Chromatiaceae.g__Marichromatium,0.00026810511768393425,7.574591249191738e-05
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.g__Methyloceanibacter,0.0002549294321681625,0.0007207122957029947
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Anoxybacillus,0.00011710262777320011,0.0021399050735847296
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Roseivivax,0.0003675395386904929,0.0006943868441164124
k__Archaea.p__Euryarchaeota.c__Halobacteria.o__Natrialbales.f__Natrialbaceae.g__Haloterrigena,0.0005756128171591234,0.0003062790161314475
k__Archaea.p__Euryarchaeota.c__Halobacteria.o__Natrialbales.f__Natrialbaceae.g__Halobiforma,0.0006294985453637623,0.0004107824876310293
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Pragia,0.0006205711572088502,0.0
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Fervidicella,0.00025675568237015697,0.00014816797724611012
k__Bacteria.p__Chloroflexi.c__Anaerolineae.o__Anaerolineales.f__Anaerolineaceae.g__Ornatilinea,0.00017321622162650213,6.767910201386601e-05
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Wigglesworthia,0.0006080356418992571,0.0012792000933586328
